ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsivity,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
0012,Ag4,M,Ed5,OT,WH,S24,S40,S47,S30,S38,I5,SS09,CL5,CL1,CL0,CL0,CL6,CL4,CL5,CL2,CL0,CL3,CL0,CL0,CL0,CL1,CL0,CL2,CL6,CL0,CL0
0013,Ag5,F,Ed7,UK,WH,S56,S41,S49,S32,S36,I7,SS06,CL5,CL1,CL0,CL4,CL6,CL3,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL1,CL6,CL0,CL0
0014,Ag5,F,Ed6,CA,WH,S28,S45,S46,S49,S59,I2,SS03,CL1,CL0,CL0,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0015,Ag5,F,Ed6,UK,WH,S27,S49,S49,S39,S52,I7,SS08,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0016,Ag5,M,Ed7,UK,WH,S19,S29,S35,S36,S49,I2,SS04,CL5,CL2,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0017,Ag3,F,Ed5,UK,WH,S22,S34,S34,S45,S47,I3,SS00,CL6,CL0,CL0,CL1,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0018,Ag4,M,Ed2,UK,WH,S41,S31,S44,S40,S31,I1,SS03,CL6,CL1,CL1,CL0,CL6,CL6,CL4,CL1,CL0,CL1,CL0,CL2,CL0,CL1,CL0,CL1,CL6,CL0,CL0
0019,Ag5,M,Ed7,AU,WH,S49,S39,S45,S30,S30,I2,SS05,CL6,CL2,CL0,CL2,CL6,CL3,CL6,CL2,CL0,CL2,CL0,CL0,CL2,CL1,CL0,CL1,CL0,CL0,CL0
0020,Ag3,M,Ed6,UK,WH,S32,S27,S29,S30,S47,I1,SS00,CL4,CL1,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL6,CL0,CL1,CL0,CL0
0021,Ag4,M,Ed6,UK,WH,S28,S45,S51,S53,S33,I4,SS05,CL6,CL1,CL1,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL0
0022,Ag6,M,Ed1,UK,WH,S25,S43,S38,S39,S53,I3,SS02,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
0023,Ag4,M,Ed7,UK,WH,S40,S33,S40,S50,S35,I2,SS06,CL4,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0024,Ag4,M,Ed2,UK,WH,S51,S16,S37,S45,S34,I1,SS01,CL6,CL2,CL1,CL5,CL6,CL2,CL6,CL2,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL1
0025,Ag5,M,Ed7,UK,WH,S34,S44,S54,S48,S51,I3,SS04,CL5,CL1,CL1,CL1,CL5,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
0026,Ag4,M,Ed5,UK,WH,S28,S37,S37,S49,S42,I3,SS07,CL5,CL1,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL2,CL0,CL0,CL3,CL2,CL0,CL2,CL1,CL0,CL0
0027,Ag5,F,Ed4,CA,WH,S35,S28,S24,S38,S46,I4,SS01,CL6,CL0,CL0,CL2,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0028,Ag3,M,Ed7,UK,WH,S41,S31,S46,S43,S25,I8,SS07,CL6,CL1,CL1,CL2,CL6,CL6,CL5,CL1,CL0,CL0,CL0,CL0,CL2,CL1,CL0,CL3,CL2,CL0,CL0
0029,Ag3,F,Ed8,UK,WH,S36,S29,S41,S45,S50,I4,SS04,CL6,CL0,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0030,Ag4,M,Ed9,UK,WH,S24,S51,S52,S49,S53,I3,SS04,CL0,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0031,Ag4,M,Ed2,UK,WH,S39,S34,S37,S33,S37,I1,SS06,CL6,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL1,CL0,CL1,CL1,CL1,CL1,CL2,CL0,CL0
0032,Ag3,F,Ed2,OT,WH,S25,S34,S47,S39,S42,I1,SS03,CL3,CL0,CL0,CL2,CL3,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0033,Ag3,M,Ed7,UK,WH,S28,S31,S46,S46,S42,I4,SS03,CL6,CL1,CL1,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
0034,Ag1,M,Ed7,UK,WH,S40,S38,S48,S51,S41,I2,SS01,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0035,Ag3,M,Ed7,US,OT,S46,S44,S52,S23,S36,I5,SS10,CL4,CL2,CL1,CL1,CL5,CL2,CL5,CL2,CL1,CL1,CL1,CL2,CL1,CL1,CL1,CL1,CL5,CL0,CL1
0036,Ag6,M,Ed1,UK,WH,S33,S34,S28,S41,S36,I5,SS01,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0037,Ag3,M,Ed7,UK,WH,S33,S36,S45,S43,S30,I3,SS05,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0038,Ag5,M,Ed1,US,WH,S39,S42,S53,S44,S37,I5,SS04,CL6,CL1,CL2,CL1,CL6,CL3,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
0039,Ag4,M,Ed7,UK,WH,S22,S48,S48,S43,S47,I3,SS03,CL6,CL1,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
0040,Ag6,F,Ed6,UK,WH,S33,S33,S38,S38,S45,I1,SS05,CL6,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL4,CL0,CL1,CL0,CL0
0041,Ag3,M,Ed8,UK,WH,S36,S37,S46,S29,S47,I2,SS06,CL5,CL1,CL0,CL2,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0042,Ag3,F,Ed7,UK,WH,S44,S40,S53,S54,S39,I3,SS05,CL4,CL0,CL0,CL0,CL4,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0043,Ag3,M,Ed8,UK,WH,S34,S33,S37,S43,S37,I3,SS04,CL6,CL0,CL3,CL5,CL6,CL2,CL4,CL6,CL0,CL4,CL0,CL2,CL2,CL0,CL0,CL0,CL1,CL0,CL0
0044,Ag3,M,Ed6,UK,WH,S27,S36,S44,S42,S34,I3,SS05,CL6,CL2,CL2,CL0,CL6,CL3,CL6,CL3,CL0,CL2,CL0,CL0,CL0,CL2,CL0,CL0,CL6,CL0,CL0
0045,Ag2,M,Ed7,UK,OT,S26,S49,S49,S51,S48,I3,SS06,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
0046,Ag2,F,Ed7,UK,WH,S31,S43,S54,S49,S52,I1,SS00,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0047,Ag4,F,Ed5,CA,WH,S39,S44,S38,S45,S51,I2,SS03,CL3,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL2,CL0,CL1
0048,Ag4,M,Ed8,UK,WH,S19,S45,S48,S49,S49,I0,SS02,CL5,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0049,Ag4,M,Ed2,UK,WH,S37,S34,S44,S42,S37,I4,SS03,CL6,CL1,CL1,CL0,CL6,CL5,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
0050,Ag2,F,Ed8,UK,WB,S44,S36,S32,S37,S44,I5,SS09,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
0051,Ag3,M,Ed8,UK,WH,S46,S39,S45,S35,S42,I2,SS03,CL6,CL1,CL2,CL1,CL6,CL3,CL6,CL2,CL0,CL3,CL0,CL0,CL2,CL1,CL0,CL3,CL6,CL0,CL0
0052,Ag4,M,Ed6,CA,WH,S47,S46,S42,S37,S27,I8,SS10,CL2,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
0053,Ag5,F,Ed7,UK,WH,S34,S40,S36,S45,S36,I5,SS01,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0054,Ag4,M,Ed8,UK,WH,S23,S39,S53,S45,S44,I3,SS05,CL5,CL1,CL1,CL0,CL6,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
0055,Ag5,M,Ed2,UK,WH,S36,S47,S42,S36,S33,I7,SS09,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL6,CL0,CL3,CL0,CL0,CL3,CL1,CL0,CL1,CL1,CL0,CL0
0056,Ag5,F,Ed6,UK,WH,S36,S35,S38,S40,S39,I1,SS00,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0057,Ag3,F,Ed5,UK,WH,S36,S40,S34,S43,S44,I1,SS01,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0058,Ag2,F,Ed7,UK,WH,S30,S44,S32,S45,S47,I2,SS04,CL1,CL0,CL0,CL0,CL6,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0059,Ag4,M,Ed4,UK,WH,S38,S44,S46,S40,S39,I8,SS09,CL5,CL1,CL1,CL0,CL6,CL5,CL5,CL5,CL2,CL3,CL1,CL3,CL3,CL1,CL0,CL2,CL6,CL0,CL1
0060,Ag4,M,Ed7,UK,WH,S31,S31,S37,S32,S41,I1,SS01,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0061,Ag2,F,Ed9,UK,WH,S49,S42,S48,S41,S40,I1,SS06,CL5,CL0,CL0,CL3,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0062,Ag4,M,Ed8,UK,AS,S18,S50,S54,S44,S50,I1,SS02,CL5,CL1,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL1
0063,Ag2,M,Ed7,UK,WH,S30,S30,S33,S34,S45,I1,SS02,CL5,CL0,CL0,CL0,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
0064,Ag4,M,Ed7,UK,WH,S46,S38,S41,S39,S42,I1,SS02,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0065,Ag4,M,Ed9,UK,WH,S22,S43,S53,S40,S48,I1,SS04,CL6,CL1,CL0,CL1,CL6,CL6,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
0066,Ag3,M,Ed5,UK,WH,S43,S43,S40,S50,S46,I5,SS05,CL5,CL0,CL0,CL3,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0067,Ag4,M,Ed2,UK,WH,S26,S35,S38,S51,S45,I2,SS02,CL4,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0068,Ag2,M,Ed8,UK,WH,S32,S38,S53,S37,S41,I6,SS05,CL5,CL1,CL1,CL0,CL6,CL2,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL5,CL0,CL0
0069,Ag3,M,Ed6,OT,WH,S27,S40,S48,S42,S40,I3,SS06,CL5,CL1,CL1,CL0,CL5,CL2,CL6,CL3,CL0,CL2,CL0,CL1,CL1,CL1,CL0,CL1,CL1,CL0,CL0
0070,Ag4,F,Ed2,UK,WH,S35,S35,S34,S45,S42,I1,SS03,CL6,CL0,CL0,CL6,CL1,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0071,Ag2,M,Ed5,UK,WH,S32,S38,S47,S30,S40,I5,SS08,CL6,CL2,CL1,CL0,CL4,CL2,CL6,CL3,CL0,CL3,CL0,CL2,CL2,CL2,CL0,CL0,CL2,CL0,CL1
0072,Ag4,F,Ed4,CA,WH,S31,S47,S44,S50,S43,I0,SS03,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0073,Ag4,M,Ed4,UK,WH,S22,S46,S46,S46,S48,I4,SS07,CL6,CL1,CL1,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
0074,Ag4,M,Ed6,UK,WH,S29,S36,S44,S45,S49,I2,SS05,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0075,Ag6,F,Ed2,UK,WH,S25,S27,S26,S33,S44,I5,SS00,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0076,Ag2,M,Ed7,UK,WH,S34,S41,S35,S38,S39,I5,SS05,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0077,Ag4,F,Ed3,CA,WH,S32,S35,S35,S46,S46,I0,SS00,CL4,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0078,Ag3,M,Ed7,UK,WH,S37,S28,S42,S35,S39,I3,SS00,CL3,CL1,CL0,CL0,CL6,CL2,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL0
0079,Ag3,M,Ed5,UK,WH,S28,S34,S31,S32,S25,I0,SS02,CL6,CL0,CL1,CL0,CL6,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL1
0080,Ag3,M,Ed6,UK,WH,S32,S34,S32,S50,S37,I3,SS05,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0081,Ag6,F,Ed9,CA,WH,S36,S42,S49,S42,S51,I3,SS05,CL6,CL0,CL0,CL3,CL6,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0082,Ag5,F,Ed7,UK,WH,S28,S31,S46,S37,S41,I6,SS07,CL5,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL1,CL0,CL0,CL1,CL1,CL1,CL1,CL0,CL0
0083,Ag5,M,Ed8,CA,WH,S19,S49,S39,S47,S51,I3,SS02,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0084,Ag5,F,Ed3,UK,WB,S46,S33,S38,S52,S29,I4,SS05,CL3,CL0,CL0,CL5,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0085,Ag4,M,Ed2,UK,WH,S32,S41,S44,S41,S41,I1,SS06,CL5,CL0,CL0,CL0,CL6,CL2,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0086,Ag2,F,Ed4,UK,WH,S31,S40,S35,S44,S45,I5,SS09,CL3,CL0,CL1,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0087,Ag3,M,Ed5,UK,WH,S43,S39,S38,S44,S41,I3,SS07,CL5,CL0,CL1,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0088,Ag5,M,Ed2,UK,WH,S27,S41,S43,S41,S44,I2,SS07,CL5,CL0,CL0,CL0,CL5,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0089,Ag3,F,Ed5,UK,WH,S39,S26,S36,S38,S38,I1,SS00,CL3,CL0,CL1,CL1,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
0090,Ag3,F,Ed8,UK,WH,S45,S36,S48,S39,S40,I5,SS05,CL5,CL1,CL1,CL2,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL0,CL0,CL1
0091,Ag3,F,Ed8,UK,WH,S49,S42,S51,S45,S36,I1,SS06,CL6,CL0,CL0,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
0092,Ag3,M,Ed6,CA,WH,S40,S37,S51,S45,S47,I6,SS08,CL2,CL0,CL0,CL3,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
0093,Ag2,M,Ed4,UK,WH,S22,S38,S43,S45,S42,I2,SS03,CL4,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0094,Ag6,F,Ed2,UK,WH,S34,S34,S39,S48,S45,I1,SS01,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0095,Ag4,M,Ed8,UK,WH,S29,S36,S39,S47,S41,I1,SS00,CL5,CL0,CL0,CL3,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
0096,Ag4,M,Ed8,UK,WH,S31,S42,S53,S32,S49,I5,SS05,CL6,CL1,CL1,CL1,CL6,CL1,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
0097,Ag3,F,Ed7,CA,WH,S37,S32,S48,S42,S47,I1,SS01,CL4,CL1,CL0,CL0,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL0
0098,Ag4,F,Ed8,UK,WH,S31,S44,S44,S39,S33,I4,SS03,CL5,CL1,CL0,CL1,CL6,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
0099,Ag3,M,Ed9,CA,WH,S25,S37,S46,S39,S48,I3,SS09,CL4,CL1,CL0,CL0,CL6,CL1,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
0100,Ag2,F,Ed7,UK,WH,S29,S58,S51,S49,S52,I5,SS07,CL6,CL2,CL0,CL3,CL6,CL3,CL5,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
0101,Ag2,M,Ed8,OT,WH,S26,S55,S50,S33,S39,I3,SS09,CL6,CL3,CL3,CL4,CL6,CL6,CL5,CL3,CL0,CL3,CL0,CL3,CL2,CL2,CL0,CL3,CL0,CL0,CL0
0102,Ag4,F,Ed2,AU,WH,S30,S43,S34,S42,S48,I1,SS03,CL4,CL0,CL0,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0103,Ag4,M,Ed4,UK,WH,S30,S48,S55,S34,S42,I2,SS09,CL6,CL1,CL3,CL4,CL6,CL1,CL4,CL4,CL1,CL2,CL2,CL1,CL1,CL2,CL0,CL2,CL1,CL0,CL0
0104,Ag4,F,Ed6,CA,WH,S36,S44,S44,S41,S43,I4,SS08,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0105,Ag2,F,Ed5,CA,WH,S27,S41,S45,S50,S46,I2,SS06,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL2,CL6,CL0,CL0
0106,Ag3,M,Ed6,UK,WH,S18,S43,S33,S38,S54,I1,SS01,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0107,Ag2,F,Ed5,UK,WH,S46,S38,S33,S45,S39,I1,SS03,CL4,CL0,CL0,CL0,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0108,Ag3,F,Ed2,UK,WH,S37,S40,S37,S38,S46,I5,SS05,CL5,CL3,CL0,CL0,CL6,CL0,CL6,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0109,Ag2,F,Ed7,UK,WH,S31,S53,S47,S44,S47,I8,SS09,CL5,CL0,CL0,CL3,CL6,CL3,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
0110,Ag4,F,Ed5,UK,WH,S28,S43,S36,S37,S38,I2,SS06,CL5,CL1,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
0111,Ag4,M,Ed8,UK,AS,S34,S42,S47,S41,S41,I4,SS04,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0112,Ag2,M,Ed8,UK,WH,S39,S32,S40,S39,S37,I4,SS07,CL6,CL1,CL0,CL0,CL6,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL0,CL0,CL0
0113,Ag2,F,Ed7,UK,WH,S25,S42,S52,S35,S36,I3,SS05,CL3,CL0,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0114,Ag4,F,Ed6,UK,WH,S36,S44,S48,S44,S47,I4,SS05,CL4,CL0,CL0,CL1,CL6,CL2,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0115,Ag3,M,Ed5,UK,WH,S17,S52,S55,S38,S31,I8,SS09,CL4,CL1,CL1,CL2,CL6,CL6,CL4,CL1,CL0,CL2,CL2,CL2,CL0,CL2,CL0,CL2,CL6,CL0,CL0
